company,department,title,name,theme,article_title,publish_date,article_url,keyword
有限会社インテルコーポレーション,クライアント製品事業本部,副社長 兼 チャネル・セグメント担当 事業部長,ロバート・ハルロック,新デスクトップ・プロセッサー 200S Plus シリーズ発表のコメント,インテル、新デスクトップ・プロセッサーインテル® Core™ Ultra プロセッサー 200S Plus シリーズを発表,2026-03-12,https://prtimes.jp/main/html/rd/p/000000110.000009705.html,部長
有限会社インテルコーポレーション,セールス・マーケティング & コミュニケーション統括本部,ゼネラル・マネージャー,ハンス・チュアン,基調講演登壇者、AI PC時代の幕開けを告知,インテル、「最新 AI PC で輝く未来」をメインテーマにIntel Connection Japan 2026を開催,2026-02-03,https://prtimes.jp/main/html/rd/p/000000109.000009705.html,マネージャー
有限会社インテルコーポレーション,クライアント・コンピューティング事業本部,副社長 兼 クライアント・セグメント担当本部長,デビッド・フェン,基調講演登壇者、Core Ultra シリーズ3の詳細説明,インテル、「最新 AI PC で輝く未来」をメインテーマにIntel Connection Japan 2026を開催,2026-02-03,https://prtimes.jp/main/html/rd/p/000000109.000009705.html,マネージャー
有限会社インテルコーポレーション,ソフトウェア、GPUおよびNPU IPグループ,副社長 兼 ゼネラルマネージャー,リサ・ピアース,MLPerf v5.1ベンチマーク結果に関するコメント,インテル® Arc Pro Bシリーズ GPUとインテル® Xeon® 6 プロセッサーがMLPerf Inference v5.1で優れた結果を達成,2025-09-10,https://prtimes.jp/main/html/rd/p/000000104.000009705.html,マネージャー
インフロニア・ホールディングス株式会社,総合インフラサービス戦略部,部長,大塚　淳,スペシャルセミナー登壇者,下水道分野で国内最大規模の展示会　「下水道展’26東京」2026年8月4日から8月7日までビッグサイトにて開催！,2026-07-02,https://prtimes.jp/main/html/rd/p/000000005.000105321.html,部長
株式会社ヴァル研究所,MaaS事業部,プロデューサー,篠原 徳隆,審査員,「公共交通オープンデータチャレンジ2024 ～ powered by Project LINKS～」,2024-07-10,https://prtimes.jp/main/html/rd/p/000000002.000146050.html,課長
株式会社ウィゴー,PR制作チーム,マネジャー,登美幸,令和のプレイングマネジャーとして紹介,令和のプレイングマネジャー11人のマネジメントの秘訣とは？　84社の人事部アンケートの結果も公開,2025-07-15,https://prtimes.jp/main/html/rd/p/000000127.000080364.html,課長
株式会社ウィットスタジオ,作画部,課長,手塚響平,アニメ業界のクリエイター教育論に関するセッション登壇者,マンガ&アニメ業界カンファレンス“IMART2023”詳細発表！,2023-10-06,https://prtimes.jp/main/html/rd/p/000000052.000019148.html,課長
ウイングアーク１ｓｔ株式会社,BDE-SBU カスタマーマーケティング室,室長,河村 雅代,セミナー登壇者,【来週開催｜会場図公開】マーケティング展示会【2月26日(木)-27日(金) / 東京ビッグサイト】,2026-02-19,https://prtimes.jp/main/html/rd/p/000000205.000011263.html,マネージャー
エイターリンク株式会社,社長室,,壽松木健太,登壇者として紹介（VTR出演）,＜好評につき締切延長！＞LOGISTICS TODAY、緊急特別番組「酷暑の物流生存戦略2026」を7月14日にライブ配信,2026-07-13,https://prtimes.jp/main/html/rd/p/000000003.000187040.html,マネージャー
株式会社エイドデザイン,,,渡部直樹,事例プレゼンテーション発表者,【ブランド・マネージャー認定協会】経済産業省などの後援を受け、3年ぶりの公開シンポジウムを2022年11月12日（土）に開催,2022-11-04,https://prtimes.jp/main/html/rd/p/000000050.000045539.html,マネジャー
株式会社エクサウィザーズ,AIプロダクト事業本部 HR Techユニット,部門執行役員 ユニット長,伊藤裕司,DX推進に関する専門家インタビュー,人事専門誌『日本人材ニュース vol.336』を発行 「DXを推進できる組織・人事の条件」を特集,2025-05-28,https://prtimes.jp/main/html/rd/p/000000023.000118301.html,マネジャー
株式会社エクスナレッジ,編集部,部長,森 哲也,第三部トークセッション登壇者,「本が読めない時代に出版はどうなる？」ルビフルシンポジウム2026開催レポート,2026-07-06,https://prtimes.jp/main/html/rd/p/000000054.000123230.html,部長
エクスパーク合同会社,,,伊賀聡一郎,ユーザーリサーチ/デザイン人類学コースの講師,AI時代に必要なのは「学び続ける力」。Xデザイン学校秋のオンラインコース募集。「人を理解する」「未来を構想する」「共創し組織に活かす」3つの学びの視点を提供。,2026-06-09,https://prtimes.jp/main/html/rd/p/000000015.000095969.html,マネージャー
株式会社エクセレントケアシステム,運営サポート,スーパーバイザー,後藤忠幸,バリアフリー2026セミナー登壇者,現場の福祉用具プランナーが選ぶ「プラネット福祉用具アワード2026」で『ころやわ®』が特別賞を受賞。授賞式の開催されるバリアフリー2026で体験ブース出展＆セミナーも実施。,2026-03-31,https://prtimes.jp/main/html/rd/p/000000085.000078980.html,マネージャー
エスエス製薬株式会社,,EVEブランドマネージャー,市川 愛,セミナー登壇者（キャリア支援）,自分らしく輝く、すべてのワーキングウーマンのための総合イベント　「WOMAN EXPO 2026 Summer」、今週末6月6日（土）、渋谷ヒカリエで開催参加の事前申込（無料）を受付中！,2026-06-01,https://prtimes.jp/main/html/rd/p/000003408.000012949.html,部長
有限会社エックスラボ,,,藤勝行,WebinarBaseプロジェクトの顧客コメント提供,日本企業向けオフショア開発成功の秘訣｜チームに日本人が必要なのはいつ？成功企業の実例を公開,2025-12-22,https://prtimes.jp/main/html/rd/p/000000015.000139490.html,マネジャー
エヌビディア合同会社,エンタープライズ事業本部,事業本部長,井﨑武士,AI創薬革命セミナー講演者,【展示会】BioJapan 2024 ～ バイオテクノロジーが創るサステナブルな社会、2030年にめざすべき姿がここに,2024-10-02,https://prtimes.jp/main/html/rd/p/000000003.000109529.html,課長
エフセキュア株式会社,B2Bビジネス部門,カントリーマネージャー,ジョン・デューリー,日本法人B2Bビジネス部門の新カントリーマネージャー就任,エフセキュア、日本カントリーマネージャーにジョン・デューリーが就任,2021-07-01,https://prtimes.jp/main/html/rd/p/000000321.000001340.html,マネジャー
エリクソン株式会社,北東アジア地域,上席副社長および総責任者,シャフィック・ナシーフ,5G Advanced導入と低遅延モビリティ実現のコメント,エリクソン、KDDI・MediaTekと共同で世界初のフィールド実証によるLTMデモを実施,2026-02-25,https://prtimes.jp/main/html/rd/p/000000096.000010141.html,マネージャー
オイシックス・ラ・大地,新潟プロジェクト準備室,室長,太田洋哉,パネルセッション1登壇者,新潟から食農の未来を切り拓く。官民のキーパーソン150名超が全国から集結する、食と農林水産業の実装型カンファレンスを開催,2026-06-02,https://prtimes.jp/main/html/rd/p/000000007.000181109.html,部長
おうちカンパニー株式会社,,グループ会長,藤井正和,新店舗オープンのお祝いコメント,おうちカンパニー茨木駅前店（株式会社AMIDAS）様、令和8年1月16日新店舗オープンのお知らせ。Official Shopは50店舗（令和8年1月現在・予定含む）,2026-01-13,https://prtimes.jp/main/html/rd/p/000000027.000134674.html,課長
オカムラ,オフィス環境事業本部 中部支社 マーケティング課,コミュニティマネージャー,河田 佳美,クエストカップ2023協賛企業ナビゲーター,【日本最大級】探究学習の祭典「クエストカップ2023 全国大会」、12月1日からエントリー開始！,2022-12-01,https://prtimes.jp/main/html/rd/p/000000067.000026081.html,マネジャー
株式会社オックスフォード・ナノポアテクノロジーズ,アジア太平洋地域,ゼネラルマネージャー,Gretchen Weightman,業務提携発表における同社の立場説明,オックスフォード・ナノポアテクノロジーズとA.D.A.M. Innovations、日本における先進ゲノム医療の加速に向けた国際協業を発表,2026-03-18,https://prtimes.jp/main/html/rd/p/000000079.000008653.html,マネージャー
オムロン株式会社,,専務CFO,日戸興史,イベント参加エキスパート,“通説を疑い、未来を創る” - 69の誤りを打ち破るチェンジリーダーの祭典『Goldrattフェス 2026』1月10日開催,2025-12-10,https://prtimes.jp/main/html/rd/p/000000090.000055533.html,部長
オムロンヘルスケア株式会社,営業・SCM部門,部門長,北垣政隆,イベント参加エキスパート,“通説を疑い、未来を創る” - 69の誤りを打ち破るチェンジリーダーの祭典『Goldrattフェス 2026』1月10日開催,2025-12-10,https://prtimes.jp/main/html/rd/p/000000090.000055533.html,部長
オラクル合同会社,アプリケーション開発,シニア・バイスプレジデント,ルイス・トンプソン,Oracle Manager Edge発表時のコメント,オラクル、組織における効果的なリーダーシップを拡大するOracle Manager Edgeを発表,2026-07-10,https://prtimes.jp/main/html/rd/p/000000487.000057729.html,マネージャー
オラクル合同会社,アプリケーション開発,エグゼクティブ・バイスプレジデント,クリス・レオーネ,Fusion Agentic Applications発表の責任者,オラクル、カスタマー・エクスペリエンス業務向けのFusion Agentic Applicationsを発表,2026-04-30,https://prtimes.jp/main/html/rd/p/000000482.000057729.html,マネージャー
オラクル合同会社,Oracle Cloud Infrastructure,エグゼクティブ ビジネスマネージャー,クリス・ガンドルフォ,OCI担当者として連携についてのコメント,Celonisとオラクル、エンタープライズAIの強化とITモダナイゼーションの加速に向けて連携,2026-04-20,https://prtimes.jp/main/html/rd/p/000000058.000049282.html,マネージャー
オリオンビール株式会社,人事総務本部,常務執行役員,矢沼恵一,連載対象者,人材開発専門誌『Learning Design』5-6月号Web公開！,2023-05-11,https://prtimes.jp/main/html/rd/p/000000124.000082530.html,課長
オリックス銀行株式会社,デジタル新規事業部,担当部長,松林明,顧問就任のお知らせ,ファミリーテック株式会社、元オリックス「松林 明」を顧問に迎え、事業成長を加速,2025-12-08,https://prtimes.jp/main/html/rd/p/000000031.000095623.html,部長
カインズ合資会社,メディア戦略部,マネジャー,与那覇 一史,オウンドメディアのマーケティング戦略セミナー登壇者,＜来週21日・22日東京ビッグサイトにて開催！＞マーケティング業界専門展示会【約120講演無料】,2024-02-15,https://prtimes.jp/main/html/rd/p/000000137.000011263.html,マネジャー
株式会社カヌチャ,経営戦略部統括 ホット総研事業開発部,部長,白石亮博,トークセッション登壇者（事業開発）,【開催レポート】KOZAROCKS2023に来場者約600名。県内外の起業家40社超が入居する「コザスタートアップ商店街」で複合型イベント,2023-02-16,https://prtimes.jp/main/html/rd/p/000000005.000098718.html,マネジャー
カネカ,化成事業部技術 研究統括部,部長,一色　實,セミナー第1部講師として登壇,8月31日(月)AndTech「医薬品包装におけるバイオマスPTPシートの開発とマテリアルリサイクル～使用済みPTPの回収・分離・再生材の商品化まで～」WEBオンライン Zoomセミナー講座を開講予定,2026-07-16,https://prtimes.jp/main/html/rd/p/000001729.000080053.html,部長
株式会社ガリアーノインスピレーションズ,,,阿部光史,最新AIツール活用ワークショップ講師,年間約200講座行われている実践的なミドルシニア向け講座と「これからの人事」が果たすべき本質的な役割を学べる特別セミナーの合同イベント「LSPオープンキャンパス2025 秋」10月28日(火)より開催,2025-10-22,https://prtimes.jp/main/html/rd/p/000000053.000080370.html,部長
カルビー,マーケティング本部CXプランニング室,リーダー,松井 章,講演者として登壇,【3月3日～14日】西口一希氏、音部大輔氏ら登壇　無料マーケティングセミナー「日経クロストレンド・カレッジ春フェス2025」開催,2025-02-03,https://prtimes.jp/main/html/rd/p/000000012.000144174.html,課長
カルビー,人事・総務本部 戦略総務部,部長 兼 全員活躍推進室 室長,石井信江,シニア社員制度改定について,人事専門誌『日本人材ニュース vol.332』を発行 「内定辞退続出の新卒採用」を特集,2024-05-21,https://prtimes.jp/main/html/rd/p/000000009.000118301.html,マネジャー
カルビー,新規事業本部 新規事業部,,中村 純也,クエストカップ2023協賛企業ナビゲーター,【日本最大級】探究学習の祭典「クエストカップ2023 全国大会」、12月1日からエントリー開始！,2022-12-01,https://prtimes.jp/main/html/rd/p/000000067.000026081.html,マネジャー
カンロ,マーケティング本部,常務執行役員マーケティング本部長,内山妙子,特別セミナーセッション2パネルディスカッション登壇者,FMX、ヤング・クリエイティブ・アジェンダ2026に協賛　取締役 松井一紘が特別セミナーに登壇,2025-10-16,https://prtimes.jp/main/html/rd/p/000000013.000071878.html,部長
株式会社きじま,新規事業開発室,室長,杵島弘晃,レストラン参加コメント提供,海の生態系を取り巻く環境はまさにサスペンス！“おいしい”“値段”だけじゃない、魚を選ぶ基準に“サステナブル”を。火曜日はサステナブル・シーフードを選ぼう！略して「火サス」キャンペーン開始,2021-04-20,https://prtimes.jp/main/html/rd/p/000000132.000018383.html,マネジャー
キッセイコムテック株式会社,,プロジェクトマネージャー,須賀 啓子,mcframe X導入プロジェクトの推進,竹村製作所、ものづくりクラウドERP「mcframe X」で業務を刷新,2026-03-12,https://prtimes.jp/main/html/rd/p/000000216.000010655.html,マネージャー
キヤノンマーケティングジャパン,R&B推進本部,担当本部長,鹿志村洋次,WE AT理事,アジア最大級のWell-beingの祭典を目指すピッチコンテスト 「WE AT CHALLENGE 2025」開催。各受賞者を発表。,2025-12-02,https://prtimes.jp/main/html/rd/p/000000014.000152107.html,部長
株式会社きらぼし銀行,ビジネスプラザ,所長,石橋 宗弥,金融機関との関係構築術パネルディスカッション登壇,【 神奈川県 × eiicon 】『 Kanagawa Innovators Day 2026 』参加登録受付中！県内最大級のイノベーションサミット。7セッション追加,2026-02-03,https://prtimes.jp/main/html/rd/p/000000859.000037194.html,マネージャー
株式会社きらぼし銀行,医療・福祉事業部,執行役員 医療・福祉事業部長,上原 敦,医師の働き方改革と資金調達についての講義,「待ったなし！実践・医師の働き方改革セミナー」と題したセミナーを2023年2月2日・3日に開催!!,2023-01-11,https://prtimes.jp/main/html/rd/p/000002370.000032407.html,課長
キリンホールディングス,,常務執行役員,藤川宏,デカボサミット2025の登壇者,経済学者の成田悠輔氏らが登壇　「デカボサミット 2025」開催 12/18（木）14：00～,2025-12-04,https://prtimes.jp/main/html/rd/p/000000113.000122970.html,課長
合同会社キロロリゾート,,総支配人,渡邊裕文,事例紹介登壇者,【２／４（水）】「人材確保の課題をここで解決！人手不足に対応する外部人材活用セミナー」を開催します！,2026-01-20,https://prtimes.jp/main/html/rd/p/000001054.000088209.html,マネージャー
キングレコード株式会社,,音楽プロデューサー,渡辺 有賀,審査委員,第41回 寬仁親王牌・彬子女王牌 童謡こどもの歌コンクール,2026-03-19,https://prtimes.jp/main/html/rd/p/000000432.000030888.html,部長
キンドリルジャパン株式会社,,"Vice President, CMO",加藤希尊,特別セミナーセッション1登壇者,FMX、ヤング・クリエイティブ・アジェンダ2026に協賛　取締役 松井一紘が特別セミナーに登壇,2025-10-16,https://prtimes.jp/main/html/rd/p/000000013.000071878.html,部長
クボタ株式会社,水循環プラント技術部,担当部長,矢次壮一郎,セミナー登壇者,前年度より規模を拡大した“持続可能な企業活動を支える水ビジネスの展示会”「InterAqua2024 第15回水ソリューション総合展」,2024-01-23,https://prtimes.jp/main/html/rd/p/000000006.000093564.html,課長
株式会社くまざわ書店,営業推進部,,飯田正人,書籍の推薦コメント提供者,数々のメディアでも紹介された、人気講座がついに書籍化！　テクニックではなく「恐れ」を手放すことで、自然体のコミュニケーションが生まれる。『ほんとうの自分で人といられるレッスン』が発売,2026-06-21,https://prtimes.jp/main/html/rd/p/000001579.000018193.html,マネジャー
クラシエ薬品株式会社,ヘルスケア学術部,,長谷川 真耶,セミナー登壇者（更年期と漢方ケア）,自分らしく輝く、すべてのワーキングウーマンのための総合イベント　「WOMAN EXPO 2026 Summer」、今週末6月6日（土）、渋谷ヒカリエで開催参加の事前申込（無料）を受付中！,2026-06-01,https://prtimes.jp/main/html/rd/p/000003408.000012949.html,部長
グランディング株式会社,,開発ディレクター,山田真広,ゲームデザイン編参加者,Nintendo Switch 2 / Nintendo Switchソフト【カルドセプト ビギンズ】開発者たちが込めた想いや開発秘話を語る特別企画「Creator’s Voice」を公式サイトで公開,2026-07-08,https://prtimes.jp/main/html/rd/p/000000016.000182591.html,マネージャー
グリー合同会社,プラットフォーム統括部,部長・執行役員,伊野友紀,Angel Bridge North Star プロダクト領域メンタリング講師,Angel Bridge、創業期のスタートアップ向けの実務伴走型アクセラレータープログラム「Angel Bridge North Star」を開始,2026-02-02,https://prtimes.jp/main/html/rd/p/000000007.000118632.html,部長
グリーンランド合同会社,遊園地事業部,遊園地支配人,武田晃一,「おやこひがさ大作戦！」への賛同の思い,草彅剛さんが登壇し、ＧＲＥＥＮ ＤＡ・ＫＡ・ＲＡ「おやこひがさ大作戦！」＆新ＣＭ発表会実施,2026-04-28,https://prtimes.jp/main/html/rd/p/000000818.000027480.html,部長
株式会社クリエイティブマンプロダクション,,,長嶋誠志,音楽業界のエキスパートとして著書に寄稿,音楽業界に就職・転職したい人は必読！読めば、業界の現在（いま）と未来（これから）をリアルに実感！,2023-10-04,https://prtimes.jp/main/html/rd/p/000005481.000005875.html,マネジャー
クリスピー・クリーム・ドーナツ・ジャパン株式会社,,社長,若月貴子,セッションプログラムパネリスト,食のカンファレンス！フードジャパンサミットin宮崎開催決定！獺祭の桜井会長らリーダーが集まる。,2025-09-02,https://prtimes.jp/main/html/rd/p/000000009.000123653.html,部長
一般社団法人グローバル・コンパクト・ネットワーク・ジャパン,,事務局長,矢部英貴,開会式での祝辞,【倉木麻衣・LiLiCo・安藤優子ら登壇】「国際女性デー｜HAPPY WOMAN FESTA 2026」10周年を東京・国連大学で3月8日に開催,2026-03-11,https://prtimes.jp/main/html/rd/p/000000091.000024079.html,部長
グローバル・ブレイン株式会社,,Partner,御手洗 茂,投資参画者としてのコメント,AI時代のアニメ制作会社Creator’s XがシリーズAで総額19億円の調達,2025-11-27,https://prtimes.jp/main/html/rd/p/000000004.000147544.html,部長
グローバル・ブレイン株式会社,,パートナー,細村拓也,DEMO DAY審査員,ベンチャーキャピタルON＆BOARD 創業支援プログラム第3期「Out of BOUNDS」DEMO DAYをGlobal Business Hub Tokyoにて10月30日開催決定,2025-09-24,https://prtimes.jp/main/html/rd/p/000000031.000145220.html,マネージャー
グローバルエクセレンス合同会社,,,沢野純一,グローバル人材育成の教科書の著者,日本人材ニュース、2025年11月の書籍紹介「著者が語る」を公開〜管理職育成・グローバル人材育成に関する2冊の著者が読みどころを語る〜,2025-12-23,https://prtimes.jp/main/html/rd/p/000000063.000118301.html,部長
グローバルファンド合同会社,保健システム及びパンデミック対策部,部長,馬渕俊介,登壇者,【11/8(土)・11/9(日)開催】日本最大級のソーシャルキャリアイベント「ソーシャルキャリアフェス2025」,2025-09-30,https://prtimes.jp/main/html/rd/p/000000009.000119148.html,部長
グロービス株式会社,広報室,,土橋涼,取材に関するお問い合わせ担当,グロービス、世界の経営人材向け初めての幹部育成プログラム「Visionary Leadership Program」を開講　日本の価値観と経営哲学を通じて、リーダーシップの変革を促す,2026-04-28,https://prtimes.jp/main/html/rd/p/000000221.000052928.html,部長
グロービス株式会社,,BtoBマーケティングテクノロジー・ディレクター,奈良彰子,インサイドセールス組織の生産性向上プロジェクトの関係者,グロービスのインサイドセールス組織の生産性向上に向けてゼロワングロースがアドバイザリー支援,2025-04-21,https://prtimes.jp/main/html/rd/p/000000015.000110874.html,マネジャー
グロービス株式会社,,インサイドセールスマネジャー,瀧口奈歩,インサイドセールス組織の生産性向上プロジェクトの関係者,グロービスのインサイドセールス組織の生産性向上に向けてゼロワングロースがアドバイザリー支援,2025-04-21,https://prtimes.jp/main/html/rd/p/000000015.000110874.html,マネジャー
グロービス株式会社,,シニアデジタルマーケター,野村美奈,インサイドセールス組織の生産性向上プロジェクトの関係者,グロービスのインサイドセールス組織の生産性向上に向けてゼロワングロースがアドバイザリー支援,2025-04-21,https://prtimes.jp/main/html/rd/p/000000015.000110874.html,マネジャー
グロービス株式会社,ファカルティグループオフィス,テクノベートFGナレッジリーダー、グロービスAI経営教育研究所（GAiMERi）研究員,八尾麻理,サスティナブル経営とリーダーシップ科目開発担当者,グロービス経営大学院、2024年度7月期より「テクノベート・プロダクトマネジメント」「デジタル・プロトタイピング」科目を新設,2024-03-26,https://prtimes.jp/main/html/rd/p/000000063.000064393.html,マネジャー
グロービス・キャピタル・パートナーズ株式会社,,プリンシパル,磯田将太,株式会社オレンジの社外取締役に新たに就任,株式会社オレンジ、グローバル展開の加速に向け経営体制の強化。KADOKAWA等で海外事業を牽引した塚本進氏と、グロービス・キャピタル・パートナーズの磯田将太氏が取締役に就任,2026-07-01,https://prtimes.jp/main/html/rd/p/000000015.000125868.html,部長
株式会社ケア２１,,ケアマネジャー,松原 章,在宅介護の実情について取材対応,介護情報誌『あいらいふ』12-1月号、「コロナ禍の在宅介護の悪循環」増える施設入居,2021-11-22,https://prtimes.jp/main/html/rd/p/000000133.000009232.html,マネジャー
株式会社ケイダッシュステージ,,マネージャー,しまさん,お笑い芸人担当マネージャー、ライブ企画・運営,3人のマネージャーしまだによる、3事務所合同お笑いライブ「しまだ寄席」開催決定！,2023-10-13,https://prtimes.jp/main/html/rd/p/000000252.000047561.html,マネジャー
ケネディクス株式会社,デジタル・セキュリタイゼーション,部長,関 敏隆,パネルディスカッションのパネリスト,デジタル証券フォーラム2025、リアル＆オンライン配信で開催,2025-11-28,https://prtimes.jp/main/html/rd/p/000000620.000011115.html,部長
ゴーウェル株式会社,社長室 兼 広報室,リーダー,堂園志帆,外国人採用動向レポート著者,日本人材ニュース、2026年1月の「人材採用動向レポート」を3本発表 〜外国人、新卒、建設分野の最新採用トレンドを解説～,2026-02-25,https://prtimes.jp/main/html/rd/p/000000084.000118301.html,部長
ゴールドマン・サックス・アセット・マネジメント株式会社,,日本株式ポートフォリオ・マネジャー,蛭川 晃,パネルディスカッション登壇者,「第４回FAカンファレンス」～コミッション”ゼロ”時代におけるアドバイザーの「付加価値」とは～を開催！［12/1(金)12時45分〜19時30分］,2023-11-16,https://prtimes.jp/main/html/rd/p/000000007.000111055.html,課長
ゴールドマン・サックス証券株式会社,エクイティ部門デリバティブトレーディング部,マネージングディレクター,宇根尚秀,投資本の著者として紹介,200兆円を動かした伝説のトレーダー、初の著書「勝ち続ける投資家」になるための思考法を実践的に学べる投資バイブル,2025-09-03,https://prtimes.jp/main/html/rd/p/000000386.000045710.html,部長
ゴールドマン・サックス証券株式会社,プライムサービス部,部長,柳沢 正和,第1セッションパネリスト,LGBTQと職場を考えるカンファレンス「work with Pride」の10周年特別企画「これまでの10年、これからの10年」、8月26日（木）19時からオンライン開催！,2021-08-23,https://prtimes.jp/main/html/rd/p/000000070.000019571.html,マネジャー
コーン・フェリー・ジャパン株式会社,,シニア・クライアント・パートナー,綱島邦夫,人事戦略フォーラムの登壇者,日本CHO協会　人事戦略フォーラム　2月27日開催　『日本の大企業 成長10の法則～失われなかった30年の経営～』,2023-02-21,https://prtimes.jp/main/html/rd/p/000001440.000016751.html,課長
コカ・コーラボトラーズジャパン,調達本部　インダイレクト調達統括部,調達統括部長,角田隆明,パネルディスカッション登壇者,Amazonビジネス、DXによる企業改革について語り合うビジネスカンファレンス「Amazon Business Exchange 2021」を開催,2021-06-18,https://prtimes.jp/main/html/rd/p/000001305.000004612.html,マネジャー
コクヨ,クリエイティブデザイン部,部長,佐藤航,2018年着任時の職位,株式会社WATARU ARCHITECTSの佐藤 航氏が、空間デザイナーのための対話型イベント 「Designers Edge（デザイナーズエッジ）」に登壇決定,2026-04-16,https://prtimes.jp/main/html/rd/p/000000138.000031121.html,部長
コクヨ,サウナ部,部長,川田 直樹,温活イベント登壇者,9月30日（月）東京ビッグサイトで開催 「働く女性の美と健康を応援する！」ビジネストレードショー / イベントプログラム第１弾を発表！ 今年のフォーカステーマ 基調講演登壇者が決定！,2024-07-23,https://prtimes.jp/main/html/rd/p/000000044.000084538.html,課長
株式会社こころトレード研究所,,所長,坂本 慎太郎,登壇者としてデイトレード実践講座を講演,「トレード EXPO2024 夏」　2024年8月31日（土）開催のお知らせ,2024-07-10,https://prtimes.jp/main/html/rd/p/000000057.000041976.html,マネジャー
コマツ,CTO室,Program Director,冨樫 良一,対談登壇者,【開催まで残り12日！】豪華スピーカーが続々登壇！「NEW JAPAN SUMMIT 2024 TOKYO」を11月6日（水）東京・有楽町＋オンラインで開催,2024-10-25,https://prtimes.jp/main/html/rd/p/000000276.000021299.html,マネジャー
有限会社コムデザイン,セールス＆マーケティンググループ,責任者,寺尾 望,ServiceCloudVoiceに関する講演登壇,＜無料セミナー＞福岡でコンタクトセンターの「DX」を学ぶ！,2025-03-26,https://prtimes.jp/main/html/rd/p/000000002.000159169.html,課長
株式会社コムニコ,コーポレートサクセスチーム,マネージャー,後藤 真理恵,セミナー講演者,【12月2～18日】大人気セミナーを期間限定で無料開放、「日経クロストレンド・カレッジ フェス 2024」開催,2024-11-12,https://prtimes.jp/main/html/rd/p/000000008.000144174.html,課長
株式会社コレクシア,,執行役員,芹澤連,オープニング講演のMC兼日本エビデンスベーストマーケティング研究機構研究主幹,満席につき、サテライト講演を増枠！　バイロン・シャープ氏が登壇　「日経クロストレンドFORUM 2026」（7月28日～30日）,2026-07-13,https://prtimes.jp/main/html/rd/p/000000324.000041279.html,部長
株式会社コンカー,プロダクトマーケティング部,部長,舟本 憲政,セッション2講師として登壇,【オンラインセミナー】AI・クラウド時代にCFOが描くべき経理・システム戦略,2026-02-06,https://prtimes.jp/main/html/rd/p/000000335.000088324.html,部長
株式会社コンコードエグゼクティブグループ,,プリンシパル,佐竹尚,アンケート回答者,人事専門誌『日本人材ニュース vol.339』を発行 「AIが迫る人事大転換」を特集,2026-01-27,https://prtimes.jp/main/html/rd/p/000000070.000118301.html,部長
コンセント合同会社,,,大﨑優,デザインマネジャー/デザイン経営コースの講師,AI時代に必要なのは「学び続ける力」。Xデザイン学校秋のオンラインコース募集。「人を理解する」「未来を構想する」「共創し組織に活かす」3つの学びの視点を提供。,2026-06-09,https://prtimes.jp/main/html/rd/p/000000015.000095969.html,マネージャー
コンチネンタル株式会社,コンチテック,エグゼクティブバイスプレジデント,ロヒト・マーカン,アジア太平洋地域インダストリアル・ソリューションズ事業担当として就任,コンチテック、ロヒト・マーカンをアジア太平洋地域 インダストリアル・ソリューションズ事業担当エグゼクティブバイスプレジデントに任命,2025-12-12,https://prtimes.jp/main/html/rd/p/000000001.000174720.html,マネージャー
コンチネンタル株式会社,パッシブセーフティー&センソリックスセグメント,統括責任者,ローラン・ファーブル,新センサー製品の戦略説明,コンチネンタル、電気自動車のバッテリーを保護するための新センサーを発表,2022-05-26,https://prtimes.jp/main/html/rd/p/000000043.000023443.html,マネジャー
コンチネンタル株式会社,パッシブセーフティー&センソリックス,プログラムマネジャー,ホルスト・ゲリング,電流センサーモジュールの技術説明,コンチネンタル、電気自動車のバッテリーを保護するための新センサーを発表,2022-05-26,https://prtimes.jp/main/html/rd/p/000000043.000023443.html,マネジャー
コンチネンタル株式会社,自律モビリティ & セーフティー部門,部長,フランク・ペッツニック,ADASグローバル事業部長への就任,フランク・ペッツニック、コンチネンタルADASグローバル事業部長に就任,2020-07-03,https://prtimes.jp/main/html/rd/p/000000033.000023443.html,マネジャー
コンチネンタル株式会社,自律モビリティ & セーフティー部門,責任者,フランク・ヨーダン,取締役会メンバーとしてペッツニックの上司,フランク・ペッツニック、コンチネンタルADASグローバル事業部長に就任,2020-07-03,https://prtimes.jp/main/html/rd/p/000000033.000023443.html,マネジャー
合同会社サイバーエージェント,AI事業本部AIクリエイティブカンパニー,統括,毛利真崇,講演登壇者,「日経クロストレンドFORUM 2026」開催　『ブランディングの科学』バイロン・シャープ氏、声優・CEO梶裕貴氏、リアル登壇！,2026-06-29,https://prtimes.jp/main/html/rd/p/000000319.000041279.html,マネージャー
合同会社サイバーエージェント,Cyber AI Productions,プロデューサー,下平 優,品質と生産性を両立したバーチャルプロダクション運用法の登壇者,「Virtual Production Boost 2025」DAY1・DAY2概要公開！,2025-10-31,https://prtimes.jp/main/html/rd/p/000000003.000171290.html,部長
合同会社サイバーエージェント,Cyber AI Productions,VPスーパーバイザー,齋 裕幸,品質と生産性を両立したバーチャルプロダクション運用法の登壇者,「Virtual Production Boost 2025」DAY1・DAY2概要公開！,2025-10-31,https://prtimes.jp/main/html/rd/p/000000003.000171290.html,部長
合同会社サイバーエージェント,Cyber AI Productions,CGディレクター,中澤 勤,品質と生産性を両立したバーチャルプロダクション運用法の登壇者,「Virtual Production Boost 2025」DAY1・DAY2概要公開！,2025-10-31,https://prtimes.jp/main/html/rd/p/000000003.000171290.html,部長
